Track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
A Little Party Never Killed Nobody (All We Got),0.763,0.653,-5.05,0.149,0.00876,5.46e-06,0.0854,0.477,130.025,240907,57
Starships,0.747,0.716,-2.457,0.075,0.135,0,0.251,0.751,125.008,210627,76
Die Young,0.711,0.7,-4.805,0.046,0.00498,0.000125,0.215,0.801,128.001,211920,4
Burn,0.559,0.777,-5.031,0.0432,0.31,0,0.105,0.329,87.016,231212,71
Levels - Radio Edit,0.62,0.881,-5.851,0.0372,0.0585,0.714,0.311,0.415,126.035,199904,1
Titanium (feat. Sia),0.604,0.787,-3.674,0.103,0.0679,0.15,0.127,0.301,126.062,245040,79
Rather Be (feat. Jess Glynne),0.799,0.586,-6.735,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833,52
Hey Now (feat. Kyle) - Single Mix,0.712,0.957,-1.923,0.0793,0.00552,1.77e-06,0.103,0.703,128.039,187507,26
This Is What It Feels Like,0.551,0.833,-5.217,0.03,0.0391,2.77e-06,0.0632,0.145,129.885,204360,65
Treasure,0.874,0.692,-5.28,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,178560,79
Timber (feat. Ke$ha),0.589,0.966,-4.106,0.098,0.0305,0,0.147,0.803,129.984,204200,63
The Other Side,0.561,0.836,-3.939,0.1,0.0525,0,0.136,0.517,127.923,226987,54
All Night,0.6,0.905,-3.41,0.0357,0.00274,0,0.831,0.636,124.032,187027,61
Right Round,0.72,0.672,-6.852,0.0551,0.009,0,0.232,0.705,124.986,204640,74
Sweet Nothing (feat. Florence Welch),0.573,0.929,-3.942,0.109,0.197,0.000112,0.0567,0.582,127.934,212560,72
Locked out of Heaven,0.726,0.698,-4.165,0.0431,0.049,0,0.309,0.867,143.994,233478,84
She Wolf (Falling to Pieces) [feat. Sia],0.492,0.857,-2.634,0.0655,0.0841,7.82e-06,0.344,0.393,129.973,222500,68
I Love It (feat. Charli XCX),0.711,0.906,-2.671,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,157153,58
Troublemaker (feat. Flo Rida),0.762,0.863,-3.689,0.0565,0.015,0,0.125,0.965,106.008,185587,1
Let Her Go,0.509,0.538,-7.335,0.0572,0.385,0,0.104,0.244,75.089,252867,75
Feel So Close - Radio Edit,0.707,0.924,-2.842,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,81
Counting Stars,0.664,0.705,-4.972,0.0382,0.0654,0,0.115,0.477,122.017,257840,75
Get Up (Rattle) - Vocal Edit,0.801,0.985,-2.69,0.0645,0.0205,6.86e-06,0.296,0.722,127.99,166933,49
When I Was Your Man,0.612,0.28,-8.648,0.0434,0.932,0,0.088,0.387,72.795,213827,85
Bella Vita - DJ Antoine vs. Mad Mark 2K13 Radio Edit,0.722,0.844,-5.015,0.16,0.0138,0,0.166,0.563,125.038,203820,47
Impossible,0.376,0.695,-4.782,0.0933,0.135,0,0.11,0.302,169.533,209440,79
Trumpsta - Djuro Remix,0.958,0.539,-7.597,0.254,0.000723,0.744,0.134,0.211,128.0,258750,36
Dear Darlin',0.514,0.828,-4.672,0.0454,0.00626,8.73e-06,0.119,0.34,124.008,206373,1
Stay The Night - Featuring Hayley Williams Of Paramore,0.596,0.738,-3.109,0.0411,0.109,0,0.0947,0.461,127.961,217347,63
Bilder im Kopf,0.7,0.829,-5.418,0.202,0.0823,0,0.323,0.892,90.048,238560,61
Fiesta - Michael Mind Project Video Edit,0.544,0.923,-5.594,0.219,0.0159,0,0.336,0.779,128.326,191007,38
Turn All the Lights On (feat. Ne-Yo),0.697,0.807,-3.049,0.0587,0.0382,0,0.471,0.732,127.01,216440,58
Everybody - Radio Edit,0.76,0.837,-2.782,0.118,0.11,1.59e-05,0.0615,0.701,127.967,179789,31
Lila Wolken,0.543,0.676,-6.431,0.053,0.185,0,0.301,0.166,143.887,228053,44
Summer Jam,0.747,0.716,-5.152,0.0308,0.0828,7.59e-06,0.0773,0.849,128.001,182657,61
Single Ladies - Remady 2K13 Radio Edit,0.704,0.811,-3.011,0.0438,0.00743,0,0.27,0.795,128.002,221387,31
Bangarang (feat. Sirah),0.716,0.972,-2.302,0.196,0.0145,3.22e-05,0.317,0.576,110.026,215253,72
Sky Is the Limit,0.692,0.712,-5.716,0.0483,0.0251,0,0.0716,0.503,127.981,277799,48
Strand,0.653,0.545,-8.274,0.0475,0.0846,0.000265,0.155,0.465,128.968,211027,7
Million Voices,0.597,0.719,-7.272,0.0601,0.00504,0.153,0.0677,0.254,125.972,355545,39
One Life (feat. Kelly Rowland) - Radio Edit,0.472,0.879,-1.723,0.0505,0.0698,0,0.259,0.403,90.074,210320,31
Drinking from the Bottle (feat. Tinie Tempah),0.665,0.886,-4.175,0.0514,0.0469,6.24e-05,0.0525,0.53,128.062,240347,63
Halt dein Maul,0.558,0.8,-3.776,0.173,0.0104,0,0.234,0.812,150.068,218093,45
Touch the Sky (feat. DJ Ammo),0.793,0.913,-5.324,0.17,0.00783,0.0761,0.246,0.681,129.99,232533,19
One Night In Ibiza - Radio Mix feat Patrick Miller,0.711,0.916,-4.493,0.0638,0.012,9.79e-06,0.154,0.454,127.006,169355,7
Not All About The Money (Radio Edit) [feat. Timbaland & Grooya],0.725,0.921,-5.498,0.0633,0.139,0,0.277,0.92,131.608,190494,20
Brand New Day - Radio Mix,0.646,0.892,-2.681,0.0695,0.0362,0,0.176,0.513,127.962,167143,27
House Party - Radio Edit,0.699,0.915,-3.382,0.0565,0.0704,0,0.169,0.775,127.968,206787,26
Hey Hey Hey (Pop Another Bottle) (feat. Swift K.I.D & Dev),0.843,0.834,-5.427,0.119,0.0624,0,0.897,0.969,128.025,185649,43
Rack City,0.929,0.339,-10.881,0.371,0.0373,1.96e-05,0.187,0.273,98.986,203200,62
Tacatà - Radio Edit,0.812,0.857,-6.034,0.103,0.0083,0,0.354,0.651,126.951,210000,48
The Riddle Anthem - Radio Edit,0.653,0.789,-5.026,0.0312,0.0137,3.09e-05,0.374,0.593,127.013,171533,36
Meet Me in Paris - Radio Edit,0.729,0.732,-4.303,0.0517,0.0106,0,0.0951,0.547,127.914,200920,14
Disco Pogo - Atzen Musik Mix,0.654,0.771,-4.844,0.0928,0.00898,0,0.0966,0.286,131.876,204115,38
More - RedOne Jimmy Joker Remix,0.551,0.893,-2.628,0.0543,0.00166,0,0.348,0.794,125.083,219987,68
Morgens immer müde - Single Version,0.93,0.584,-8.688,0.0443,0.0197,0.00227,0.102,0.923,130.024,203240,13
Higher Ground - Flamemakers Radio Edit,0.573,0.817,-5.51,0.0534,0.0199,0,0.69,0.503,128.023,178321,15
My Party (Radio Version),0.732,0.772,-5.779,0.241,0.0209,0.00152,0.878,0.573,128.038,180000,31
Ebony Eyes (feat. A-Class & Sean Paul) - Original Edit,0.693,0.921,-3.457,0.191,0.136,0,0.591,0.651,122.134,196617,33
Wicked Wonderland,0.699,0.812,-5.772,0.135,0.00461,0.0161,0.397,0.749,127.916,217270,49
Freed From Desire - Radio Edit,0.672,0.899,-4.197,0.0473,0.00321,1.96e-05,0.34,0.488,127.967,183089,35
Animal (feat. U-Jean) - Video Edit,0.62,0.865,-4.697,0.0412,0.00929,0,0.453,0.555,128.037,212467,28
Bring Back The Love - Radio Edit,0.606,0.816,-3.787,0.0616,0.0109,5.8e-05,0.223,0.476,127.982,196293,5
Big Jet Plane,0.766,0.376,-8.622,0.0267,0.252,0.00861,0.0908,0.257,109.944,239120,61
Electric Feel,0.763,0.807,-3.714,0.035,0.0714,0.28,0.348,0.559,103.038,229640,78
I Wanna Go,0.696,0.546,-6.55,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,210267,67
Boys Boys Boys,0.725,0.662,-5.068,0.0404,0.0144,0,0.0996,0.814,122.989,200813,47
Sunshine (Fly So High) - 2012 Radio Mix,0.653,0.953,-4.307,0.112,0.12,0.0139,0.137,0.46,129.055,167398,20
Glorious - Video Edit,0.564,0.856,-5.075,0.0538,0.00314,3.74e-05,0.311,0.319,127.983,207600,26
Welcome To St. Tropez - DJ Antoine vs Mad Mark Radio Edit,0.769,0.771,-4.794,0.132,0.00673,0,0.323,0.704,124.982,194583,51
Mad World (Feat. Michael Andrews),0.345,0.0581,-17.217,0.0374,0.976,0.000366,0.103,0.304,174.117,189507,69
Work Song,0.531,0.359,-7.672,0.0619,0.749,0,0.112,0.254,121.249,229720,61
Origo,0.596,0.733,-6.513,0.15,0.479,0,0.29,0.375,107.862,203889,38
Four Seasons In One Day,0.495,0.373,-12.132,0.0262,0.821,6.75e-05,0.0769,0.486,89.834,167657,30
The Walk - Remastered Version,0.575,0.692,-6.624,0.0571,0.0322,9.16e-06,0.112,0.277,125.191,283267,26
Human - Edit,0.636,0.559,-10.313,0.0249,0.0562,0.000754,0.0562,0.512,101.4,228867,57
You've Got Time,0.321,0.955,-2.749,0.146,0.00464,0.00897,0.269,0.331,167.467,189480,52
Love Is A Stranger - Remastered Version,0.781,0.648,-8.216,0.0264,0.00761,0,0.132,0.546,121.93,224773,52
SING,0.606,0.942,-3.618,0.0357,0.000233,7.07e-06,0.106,0.373,110.98,270387,61
I've Got An Angel - Remastered Version,0.679,0.902,-8.395,0.119,0.015,0.00534,0.052,0.627,107.043,165400,28
Chompy's Paradise,0.485,0.473,-9.545,0.0312,0.5,0.948,0.127,0.115,114.341,231682,10
Wrap It Up - Remastered Version,0.732,0.745,-8.111,0.0772,0.0218,4.35e-05,0.666,0.806,130.478,214520,26
I Could Give You (A Mirror) - Remastered Version,0.668,0.533,-11.124,0.0406,0.0142,1.07e-06,0.412,0.87,131.939,230547,32
Jennifer - Remastered Version,0.657,0.487,-12.23,0.0304,0.0121,0.432,0.482,0.152,121.111,310400,38
This Is The House - Remastered Version,0.769,0.891,-7.56,0.0463,0.106,0.078,0.157,0.929,132.088,301587,28
Somebody Told Me - Remastered Version,0.677,0.636,-12.043,0.403,0.00725,0.000329,0.266,0.697,77.931,209013,32
Home Is Where the Heart Is - Remastered Version,0.796,0.575,-12.234,0.0841,0.096,0.00102,0.183,0.939,160.747,181400,23
Baby's Gone Blue - Remastered Version,0.727,0.93,-6.633,0.0821,0.00357,0.574,0.423,0.343,120.773,257253,22
Sweet Dreams (Are Made of This) - Hot Remix / Remastered Version,0.746,0.928,-3.881,0.0433,0.0302,0.000244,0.104,0.827,125.508,319480,48
Satellite Of Love - Remastered Version,0.225,0.615,-10.514,0.067,0.00384,0,0.169,0.117,151.664,276093,23
2012 (If the World Would End) - Radio Mix,0.738,0.846,-5.416,0.103,0.115,0,0.0946,0.398,127.975,166963,58
Hello Romance - DJ Antoine vs Mad Mark 2k13 Radio Edit,0.609,0.743,-4.865,0.0586,0.119,1.36e-06,0.146,0.605,127.979,174667,7
Tubthumping,0.394,0.944,-8.082,0.181,0.0906,0,0.473,0.616,207.686,234133,3
Let's Go (feat. Ne-Yo),0.71,0.882,-2.932,0.0595,0.00777,0.00771,0.294,0.875,128.016,232800,67
Hot Spot - Radio Edit,0.725,0.776,-5.302,0.0621,0.156,1e-06,0.298,0.589,128.041,200526,17
I'm in Love,0.757,0.689,-4.664,0.0392,0.00383,1.94e-05,0.0851,0.742,122.017,200387,6
You are the only one,0.632,0.895,-5.276,0.0605,0.0416,0,0.0885,0.282,127.983,186892,41
Rest Of My Life,0.531,0.88,-3.875,0.0406,0.0123,3.29e-06,0.176,0.266,127.993,232027,55
Euphoria - Single Version,0.562,0.783,-4.727,0.0428,0.135,1.44e-05,0.282,0.391,132.06,181787,59
Only Teardrops,0.561,0.844,-4.58,0.063,0.0945,0,0.22,0.446,110.968,183240,54
World In Our Hands,0.726,0.797,-4.097,0.0272,0.128,0,0.154,0.624,117.969,199987,47
Sunshine (Fly So High) - Radio Mix,0.578,0.934,-3.404,0.213,0.0896,0,0.174,0.46,128.987,187126,14
Let It Roll,0.701,0.915,-3.887,0.128,0.171,0,0.394,0.698,127.101,194453,54
Hot Right Now (feat. RITA ORA) - Radio Edit,0.524,0.972,-1.569,0.0431,0.00656,0.00058,0.224,0.476,175.017,182333,58
In My Mind (feat. Georgi Kay) - Axwell Radio Edit,0.51,0.831,-4.514,0.0606,0.0435,3.14e-06,0.346,0.376,128.025,185625,42
Call Me A Spaceman - Radio Edit,0.581,0.877,-3.595,0.0486,0.0172,0,0.248,0.35,127.952,189375,58
All My People,0.79,0.912,-5.48,0.0563,0.0189,0.00169,0.954,0.812,127.957,232046,51
Chasing The Sun,0.649,0.773,-5.888,0.0891,0.169,0,0.374,0.65,128.082,195418,54
Dance Again,0.792,0.856,-5.236,0.067,0.0159,2.88e-06,0.0981,0.714,127.988,237267,67
Who (Radio Edit),0.875,0.746,-6.562,0.0589,0.004,0.892,0.0416,0.338,124.98,190762,25
Hot Girls - Radio Edit,0.905,0.803,-4.126,0.0422,0.0611,0.0248,0.169,0.77,126.98,222040,16
Bounce (feat. Kelis) - Radio Edit,0.779,0.963,-2.125,0.0399,0.0334,0.493,0.664,0.759,127.941,222187,63
Got to Know What's Going On,0.797,0.423,-11.079,0.0582,0.346,0.00173,0.137,0.647,101.953,151618,31
We Could Just Get High,0.694,0.488,-11.875,0.0381,0.042,0.00514,0.441,0.719,113.994,208457,30
In California,0.739,0.467,-13.108,0.0471,0.0499,0.113,0.0704,0.597,111.956,203036,31
New Canaan,0.638,0.509,-11.337,0.0345,0.178,4.03e-06,0.118,0.54,109.942,175161,31
London Calling - Remastered,0.651,0.801,-7.34,0.0514,0.123,0,0.0825,0.776,133.769,200480,73
It's Gonna Be Alright,0.73,0.426,-11.39,0.0423,0.141,0.000116,0.135,0.903,149.98,218000,31
Movie Star,0.765,0.394,-12.446,0.0307,0.234,0.154,0.114,0.702,132.004,175909,31
#thatPOWER,0.797,0.608,-6.096,0.0584,0.00112,7.66e-05,0.0748,0.402,127.999,279507,70
Lighters Up - Radio Edit,0.589,0.877,-2.642,0.0399,0.00681,0,0.199,0.373,128.007,201900,5
