danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
medium,high,low,low,low,low,low,125.928,191187,medium
high,high,low,low,low,low,high,128.021,207683,low
high,high,low,low,high,medium,high,126.539,214330,low
medium,high,low,low,low,low,medium,128.012,193434,low
high,high,low,low,low,low,high,126.974,214298,low
medium,high,low,low,low,low,medium,127.982,182764,low
high,high,low,low,low,low,high,128.014,210469,low
high,high,low,low,low,medium,high,130.04,199733,low
high,medium,low,low,low,low,high,128.953,182995,low
medium,high,low,low,low,low,medium,130.012,182498,low
medium,high,low,low,low,low,low,125.098,205440,low
medium,high,low,low,low,low,medium,130.002,156166,low
high,high,low,low,low,low,high,125.01,280592,low
high,high,low,low,low,low,medium,126.965,202046,low
medium,high,low,low,low,medium,medium,127.961,179880,low
medium,high,low,low,low,low,high,128.012,228817,low
medium,high,low,medium,low,low,medium,127.946,208316,medium
medium,high,low,low,low,low,medium,127.939,206550,low
medium,high,low,low,low,low,medium,128.053,244907,high
high,high,low,low,low,low,medium,128.024,167734,low
medium,high,low,low,low,low,high,127.938,183154,medium
medium,high,low,low,low,low,medium,127.994,162911,low
medium,high,low,low,medium,low,low,128.009,300110,low
high,high,low,low,low,low,high,127.962,172800,low
high,high,low,low,high,low,medium,128.076,166875,medium
high,high,low,low,low,medium,medium,127.96,199680,medium
medium,high,low,low,low,low,medium,129.976,189666,low
high,high,low,low,low,low,medium,125.975,211726,medium
medium,high,low,low,low,low,medium,127.987,162150,low
medium,high,low,low,low,medium,medium,128.034,192294,high
medium,high,low,low,low,low,medium,129.961,231957,low
high,high,low,low,low,low,medium,128.084,208493,medium
high,high,low,low,low,low,high,126.989,218480,low
medium,high,low,low,low,low,medium,125.116,354520,high
medium,high,low,low,low,medium,medium,112.937,146250,high
medium,high,low,low,low,medium,high,127.971,205498,low
medium,high,low,low,low,low,medium,126.986,313618,low
high,high,low,low,low,low,low,121.974,280070,high
high,high,low,low,low,low,medium,129.884,194840,high
medium,high,low,low,low,medium,high,127.844,234429,medium
high,high,low,low,low,low,high,122.017,197059,low
medium,high,low,low,low,low,medium,124.08,247427,low
medium,high,low,low,low,medium,medium,129.976,167379,low
high,high,low,low,low,high,medium,128.971,245920,low
high,high,low,low,low,low,medium,129.978,188077,low
medium,high,low,low,low,low,low,132.03,196972,low
medium,high,low,low,low,low,medium,129.963,201279,low
high,high,low,low,medium,low,medium,130.009,165045,low
high,high,low,low,low,medium,medium,125.03,206461,medium
high,high,low,low,low,low,medium,130.014,262147,medium
high,high,low,low,high,low,high,127.984,210000,low
high,high,low,low,low,low,high,171.898,234208,medium
high,high,low,low,low,low,low,126.027,346930,low
medium,high,low,low,high,low,medium,129.933,209797,medium
high,high,low,low,low,low,high,122.951,210200,medium
high,high,low,low,low,low,medium,127.994,270309,low
high,high,low,low,low,low,high,130.087,188222,low
medium,high,low,low,low,low,medium,129.983,210853,high
high,high,low,low,low,low,high,129.964,202997,low
medium,high,low,low,low,medium,low,128.03,179002,medium
